Url,DomainNameLength,UrlEntropy,PercentageNumericChars,DotCount,TokenCount,SubdomainCount,HasHyphenInDomain,NumberOfDigits,TldPopularity,TldLength,HyphenRatio,VeryShortTokenCount,AverageTokenLength,HasBrandPrefix,DigitToLengthRatio,ConsonantClusterScore,IsAllSubdomain,IsRandomString,RepeatedCharScore,VowelConsonantRatio,UnigramRarity,LevenshteinToBrands,BigramEnglishScore,CharacterTransitionScore,RepeatedNGramScore,ClassLabel
german.meetup.com,17,3.4104173,0,2,3,1,0,0,1,3,0,0,5,0,0,0,1,0,0,0.33333334,0,0.4,0.4,0,0,1
rabbanddavis.com,16,3.4528196,0,1,2,0,0,0,1,3,0,0,7.5,0,0,0.2,0,0,0.5,0.33333334,0,0.19999999,0.27272728,0,0,1
rockstarnetwork.net,19,3.3263605,0,1,2,0,0,0,1,3,0,0,9,0,0,0.33333334,0,0,0,0.26666668,0,0,0.071428575,0,0,1
daedalus.dommel.be,18,3.1971598,0,2,3,1,0,0,1,2,0,1,5.3333335,0,0,0,1,0,0,0.5,0,0.5,0.14285715,0,0,0
barbertone.com,14,3.2359264,0,1,2,0,0,0,1,3,0,0,6.5,0,0,0,0,0,0,0.4,0,0.3,0.33333334,0,0,1
miville.net,11,2.9139771,0,1,2,0,0,0,1,3,0,0,5,0,0,0,0,0,0.5,0.42857143,0,0.5,0,0,0,1
techtell.pl,11,2.6635327,0,1,2,0,0,0,1,2,0,1,5,0,0,0.33333334,0,0,0.5,0.25,0,0.5,0,0,0,0
w8ji.com,8,3,0.125,1,2,0,0,1,1,3,0,0,3.5,0,0.125,0,0,0,0,0.33333334,0,0.4,0,0,0,1
blackfriday-wall-com-br.umbler.net,34,4.057476,0,2,6,1,1,0,1,3,0.0882353,1,4.8333335,0,0,0.27272728,1,0,0.5,0.3,0,0,0,0,0,0
zivity.com,10,3.1219282,0,1,2,0,0,0,1,3,0,0,4.5,0,0,0,0,0,0,0.5,0,0.5,0.2,0,0,1
folkmusic.about.com,19,3.5766177,0,2,3,1,0,0,1,3,0,0,5.6666665,0,0,0.16666667,1,0,0,0.33333334,0,0.3,0,0,0,1
yvalina.nl,10,2.7219281,0,1,2,0,0,0,1,2,0,1,4.5,0,0,0,0,0,0,0.5714286,0,0.5,0.16666667,0,0,1
