Url,DomainNameLength,UrlEntropy,PercentageNumericChars,DotCount,TokenCount,SubdomainCount,HasHyphenInDomain,NumberOfDigits,TldPopularity,TldLength,HyphenRatio,VeryShortTokenCount,AverageTokenLength,HasBrandPrefix,DigitToLengthRatio,ConsonantClusterScore,IsAllSubdomain,IsRandomString,RepeatedCharScore,VowelConsonantRatio,UnigramRarity,LevenshteinToBrands,BigramEnglishScore,CharacterTransitionScore,RepeatedNGramScore,ClassLabel
iuqerfsodp1ifjaposdfjhgosurijfaewrwergwff.com,45,4.041093,0.022222223,1,2,0,0,1,1,3,0,0,22,0,0.022222223,0.6,0,0,0.5,0.325,0,0,0.05,0,0,0
paypal.com,10,2.9219282,0,1,2,0,0,0,1,3,0,0,4.5,0,0,0,0,0,0,0.5,0,0.9,0,0,0,1
google.com,10,2.6464393,0,1,2,0,0,0,1,3,0,0,4.5,0,0,0,0,0,0.5,0.5,0,0.9,0,0,0,1
netflix-account-verify.pw,25,4.083856,0,1,4,0,1,0,0,2,0.08,1,5.5,0,0,0.125,0,0,0.5,0.4,0,0,0.0952381,0,0,0
iuqerfsodp1ifjapoosurijfaewrwergwff.com,39,3.955292,0.025641026,1,2,0,0,1,1,3,0,0,19,0,0.025641026,0.3846154,0,0,0.5,0.38235295,0,0,0.05882353,0,0,1
ipoosurijfaewrwergwff.com,25,3.7230742,0,1,2,0,0,0,1,3,0,0,12,0,0,0.5,0,0,0.5,0.3809524,0,0,0.05,0,0,1
ipoosurijfawff.com,18,3.530493,0,1,2,0,0,0,1,3,0,0,8.5,0,0,0.16666667,0,0,0.5,0.42857143,0,0,0,0,0,1
fawff.com,9,2.6416042,0,1,2,0,0,0,1,3,0,0,4,0,0,0.33333334,0,0,0.5,0.2,0,0.4,0,0,0,1
fawfefwff.com,13,2.6535444,0,1,2,0,0,0,1,3,0,0,6,0,0,0.5,0,0,0.5,0.22222222,0,0.39999998,0,0,0,1
wdqwfawfefwff.com,17,2.9339545,0,1,2,0,0,0,1,3,0,0,8,0,0,1,0,0,0.5,0.15384616,0,0,0,0,0,0
